Full Response,Time Started(PT),Progress,Bullet Summary,Tagline,Quality score,Which of the following best describes your household?,Which of these activities has your child participated in during the past 12 months?,Which of the following challenges has your child experienced? Select all that apply.,Tell me about the last time your child attended a therapy or counseling session. What was it like?,What made you decide to seek therapy or support for your child in the first place?,What has been the most frustrating part of finding and maintaining the right therapy for your child?,"If your child has been in group therapy, think back to a specific session. How engaged was your child? What did they tell you about it afterwards?",What would an ideal group therapy session look like for your child?,How important are each of the following in a group therapy program for your child?,What's your initial reaction to that idea?,How comfortable would you be with your child participating in a session like this?,What would need to be true for you to feel fully comfortable with this kind of program?,"What concerns, if any, do you have about AI being involved in your child's therapy?",How would you feel about your child attending group therapy via video call rather than in person?,"If a program like this existed today — clinician-led group therapy with AI support, delivered via telehealth, for $50-100 per session — how likely would you be to try it?",What would make you choose this over your child's current therapy arrangement?,Tags,Other Remarks,Country,Gender,Ethnicity,Age,Year of birth of youngest child,short transcript
#112,"6/2, 11:05 AM",Screened Out,- I have adult children (18+).,Parent with adult children,2,I have adult children (18+),,,,,,,,,,,,,,,,Parent of adult children,I have adult children (18+).,United States,Woman,Mixed,46,2017,"• Which of the following best describes your household? → I have adult children (18+)
• Thank you for your time, you did not meet the research criteria for this study! → "
#113,"6/2, 11:07 AM",Screened Out,- I have adult children (18+).,Parent with adult children,2,I have adult children (18+),,,,,,,,,,,,,,,,Parent of adult children,I have adult children (18+).,United States,Woman,White,42,2013,"• Which of the following best describes your household? → I have adult children (18+)
• Thank you for your time, you did not meet the research criteria for this study! → "
#114,"6/2, 11:08 AM",Screened Out,"- I have children between 6 and 12.
- My child participated in art or music classes in the past year.",Parent of school-age children,2,I have children between 6 and 12 years old,Art or music classes,,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Woman,White,42,2016,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Art or music classes
• Thank you for your time, you did not meet the research criteria for this study! → "
#115,"6/2, 11:10 AM",Screened Out,- I have children under 6 years old.,Parent of young children,2,I have children under 6 years old,,,,,,,,,,,,,,,,"Parent, Children under 6",,United States,Man,Mixed,40,2018,"• Which of the following best describes your household? → I have children under 6 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#116,"6/2, 11:10 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in art or music classes in the last year.
- My child participated in sports or physical activities in the last year.",Parent of 6–12-year-olds active in arts and sports,2,I have children between 6 and 12 years old,"Art or music classes, Sports or physical activities",,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Woman,Mixed,39,2017,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Art or music classes, Sports or physical activities
• Thank you for your time, you did not meet the research criteria for this study! → "
#117,"6/2, 11:11 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in sports or physical activities in the past 12 months.",Parent of 6–12-year-olds,2,I have children between 6 and 12 years old,Sports or physical activities,,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Woman,White,44,2017,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities
• Thank you for your time, you did not meet the research criteria for this study! → "
#118,"6/2, 10:48 AM",Screened Out,"- I am a parent of children aged 6–12.
- My child participated in sports or physical activities in the past year.
- My child took part in religious or community programs in the past year.
- My child received therapy or counseling, including school-based counseling and individual therapy.",Parent of school-aged child in therapy,2,I have children between 6 and 12 years old,"Sports or physical activities, Religious or community programs, Therapy or counseling",,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Woman,White,38,,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities, Religious or community programs, Therapy or counseling
• What type of therapy or counseling has your child been involved in? → School-based counseling, Individual therapy (one-on-one)
• Thank you for your time, you did not meet the research criteria for this study! → "
#119,"6/2, 11:15 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in religious or community programs in the past year.
- My child did sports or physical activities in the past year.
- My child received tutoring or academic support in the past year.
- My child took art or music classes in the past year.",Engaged Parent of Kids 6–12,2,I have children between 6 and 12 years old,"Religious or community programs, Sports or physical activities, Tutoring or academic support, Art or music classes",,,,,,,,,,,,,,,"Parent, Children 6–12",,United States,Man,White,34,2018,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Religious or community programs, Sports or physical activities, Tutoring or academic support, Art or music classes
• Thank you for your time, you did not meet the research criteria for this study! → "
#120,"6/2, 11:18 AM",Complete,"- Seeking therapy due to child’s social anxiety.
- Wants therapists who talk to her child like a person, not a child.
- Prefers very small group therapy (5 or fewer) to avoid being overlooked.
- Comfortable with AI-supported, clinician-led group therapy and telehealth.
- Would choose a new program if it shows proven results and equal turns for each child.","Parent seeking small, respectful, results-proven support",3,I have children between 6 and 12 years old,"Sports or physical activities, Therapy or counseling, Art or music classes, Religious or community programs, Tutoring or academic support","Difficulty making friends or socializing, Emotional regulation challenges, Shyness or social anxiety, Low self-confidence or self-esteem, Academic struggles","The last time she attended a therapy session she was apprehensive at first but then she was fine. The therapist talked to her like a person and not a child, which helped her feel comfortable.",She had a lot of social anxiety.,Finding a therapist that was a good fit for my child. I was looking for someone who talks to her like a person.,"No, never been in group therapy. I think it would take her a while to warm up to it, and I worry about her getting overlooked.","A very small group with a very understanding therapist, ideally 5 or fewer children.",Every child gets equal opportunity to participate: Critical | Consistent session structure: Critical | Sessions are engaging and fun for the child: Critical | Affordable cost: Somewhat important | Therapist gives individual attention: Critical | Progress is tracked and shared with parents: Somewhat important,"It seems like a great idea. I have no concerns and like everything about it, especially that every child gets a turn.",Somewhat comfortable,That the claims are all true. I’d want to see a session in progress.,None at all. None.,I would be fine with that; probably a little easier than in person.,Probably would try it,Proven results,"Parent of child aged 6–12, Child in therapy",,United States,Woman,White,36,2018,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities, Therapy or counseling, Art or music classes, Religious or community programs, Tutoring or academic support
• Which of the following challenges has your child experienced? Select all that apply. → Difficulty making friends or socializing, Emotional regulation challenges, Shyness or social anxiety, Low self-confidence or self-esteem, Academic struggles
• Tell me about the last time your child attended a therapy or counseling session. What was it like?
 → The last time she attended a therapy session she was apprehensive at first but then she was fine.
• What happened during the session that helped her feel more comfortable?
 → The therapist talked to her like a person and not a child.
• What made you decide to seek therapy or support for your child in the first place?
 → She had a lot of social anxiety.
• What has been the most frustrating part of finding and maintaining the right therapy for your child?
 → Finding a therapist that was a good fit for my child.
• What made it difficult to find that good fit? What were you looking for?

 → Someone who talks to her like a person.
• Has your child been in group therapy? If so, think back to a specific session - how engaged was your child? What did they tell you about it afterwards?

 → No never been in group therapy.
• What do you imagine group therapy would be like for your child? Do you have any concerns about whether a quieter or shyer child like yours would get enough attention and participation?

 → I think it would take her a while to warm up to it
• What specifically concerns you about that warm-up period? Do you worry she might not participate enough or get overlooked?

 → Getting overlooked
• What would an ideal group therapy session look like for your child?

 → A very small group and a very understanding therapist.
• What does ""very small"" mean to you - how many children would be ideal?

 → 5 or less
• How important are each of the following in a group therapy program for your child?
 → Sessions are engaging and fun for the child: Critical | Therapist gives individual attention: Critical | Every child gets equal opportunity to participate: Critical | Progress is tracked and shared with parents: Somewhat important | Affordable cost: Somewhat important | Consistent session structure: Critical
• I'd like to share an idea with you. Imagine a group therapy program for children where a licensed therapist leads every session, but is supported by an AI assistant. The AI helps manage the session — for example, making sure every child gets a turn to speak, guiding structured activities like storytelling or role-playing, and gently encouraging quieter children to participate. The therapist remains fully in control and can step in at any time. The AI simply helps the session run more smoothly and inclusively. → Continue
• What's your initial reaction to that idea?

 → It seems like a great idea
• What specifically excites you about it? And do you have any concerns or reservations?

 → No I have no concerns and I like everything about it.
• That's wonderful to hear! What aspect appeals to you most - is it the idea that every child gets a turn, the structure the AI provides, or something else?


 → Definitely every child getting a turn
• How comfortable would you be with your child participating in a session like this?

 → Somewhat comfortable
• What would need to be true for you to feel fully comfortable with this kind of program?

 → That the claims are all true
• What specifically would you need to see or hear to believe those claims are true?

 → See a session in progress
• What concerns, if any, do you have about AI being involved in your child's therapy?


 → None at all
• Even things like privacy, or whether the AI might miss an important emotional cue from your child? No worries at all about those aspects?

 → None
• How would you feel about your child attending group therapy via video call rather than in person?


 → I would be fine with that
• Would telehealth make it easier or harder for your child to participate compared to in-person sessions?

 → Probably a little easier
• If a program like this existed today — clinician-led group therapy with AI support, delivered via telehealth, for $50-100 per session — how likely would you be to try it?

 → Probably would try it
• What would make you choose this over your child's current therapy arrangement?


 → Proven results"
#121,"6/2, 11:19 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in sports or physical activities in the past 12 months.",Parent of 6–12-year-olds,2,I have children between 6 and 12 years old,Sports or physical activities,,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Woman,White,44,2015,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities
• Thank you for your time, you did not meet the research criteria for this study! → "
#122,"6/2, 11:19 AM",Screened Out,- I have children under 6 years old.,Parent of young children,2,I have children under 6 years old,,,,,,,,,,,,,,,,"Parent, Children under 6",,United States,Man,White,36,2019,"• Which of the following best describes your household? → I have children under 6 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#123,"6/2, 11:20 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in sports or physical activities in the past year.
- My child took art or music classes in the past year.",Parent of school-age children,2,I have children between 6 and 12 years old,"Sports or physical activities, Art or music classes",,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Man,Asian,47,2019,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities, Art or music classes
• Thank you for your time, you did not meet the research criteria for this study! → "
#124,"6/2, 11:21 AM",Screened Out,- I have children between 13 and 17 years old.,Parent of teens in household,2,I have children between 13 and 17 years old,,,,,,,,,,,,,,,,"Parent, Children 13-17",,United States,Woman,White,57,2015,"• Which of the following best describes your household? → I have children between 13 and 17 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#125,"6/2, 11:24 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in sports or physical activities in the past 12 months.",Parent of 6–12-year-olds,2,I have children between 6 and 12 years old,Sports or physical activities,,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Woman,White,36,2015,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities
• Thank you for your time, you did not meet the research criteria for this study! → "
#126,"6/2, 11:24 AM",Screened Out,"- I have children between 6 and 12.
- My child participated in art or music classes in the past year.",Parent of school-age children,2,I have children between 6 and 12 years old,Art or music classes,,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Woman,White,42,2017,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Art or music classes
• Thank you for your time, you did not meet the research criteria for this study! → "
#127,"6/2, 11:25 AM",Screened Out,- I have children between 13 and 17 years old.,Parent of teens in household,2,I have children between 13 and 17 years old,,,,,,,,,,,,,,,,"Parent, Children 13-17",,United States,Woman,White,36,2014,"• Which of the following best describes your household? → I have children between 13 and 17 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#128,"6/2, 11:25 AM",Screened Out,- I have children under 6 years old.,Parent of young children,2,I have children under 6 years old,,,,,,,,,,,,,,,,"Parent, Children under 6",,United States,Woman,Black,49,2019,"• Which of the following best describes your household? → I have children under 6 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#129,"6/2, 11:31 AM",Screened Out,"- I have children aged 6–12.
- My child participated in therapy or counseling, religious/community programs, art/music classes, and sports in the past year.
- My child has faced behavioral issues at school, difficulty with focus or attention, and emotional regulation challenges.
- I was told I didn’t meet the research criteria.",Parent of school-age child facing challenges,2,I have children between 6 and 12 years old,"Therapy or counseling, Religious or community programs, Art or music classes, Sports or physical activities","Behavioral issues at school, Difficulty with focus or attention, Emotional regulation challenges",,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Man,White,40,2017,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Therapy or counseling, Religious or community programs, Art or music classes, Sports or physical activities
• Which of the following challenges has your child experienced? Select all that apply. → Behavioral issues at school, Difficulty with focus or attention, Emotional regulation challenges
• Thank you for your time, you did not meet the research criteria for this study! → "
#130,"6/2, 11:32 AM",Screened Out,- I have children between 13 and 17 years old.,Parent of teens in household,2,I have children between 13 and 17 years old,,,,,,,,,,,,,,,,"Parent, Children 13-17",,United States,Woman,Mixed,48,2016,"• Which of the following best describes your household? → I have children between 13 and 17 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#131,"6/2, 11:32 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in sports or physical activities in the past 12 months.",Parent of 6–12-year-olds,2,I have children between 6 and 12 years old,Sports or physical activities,,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Man,White,44,2018,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities
• Thank you for your time, you did not meet the research criteria for this study! → "
#132,"6/2, 11:31 AM",Screened Out,"- I have children aged 6–12.
- My child participated in art or music classes in the past year.
- My child did sports or physical activities in the past year.
- My child joined religious or community programs in the past year.","Parent of 6–12-year-olds, activity-focused",2,I have children between 6 and 12 years old,"Art or music classes, Sports or physical activities, Religious or community programs",,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Man,White,57,2016,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Art or music classes, Sports or physical activities, Religious or community programs
• Thank you for your time, you did not meet the research criteria for this study! → "
#133,"6/2, 11:36 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in sports or physical activities in the past year.
- My child joined religious or community programs in the past year.
- My child took art or music classes in the past year.",Parent of school-age kids,2,I have children between 6 and 12 years old,"Sports or physical activities, Religious or community programs, Art or music classes",,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Man,White,46,2019,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities, Religious or community programs, Art or music classes
• Thank you for your time, you did not meet the research criteria for this study! → "
#134,"6/2, 11:38 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child did not participate in the listed activities in the past 12 months.",Parent of kids aged 6–12,2,I have children between 6 and 12 years old,None of the above,,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Woman,Asian,36,2017,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → None of the above
• Thank you for your time, you did not meet the research criteria for this study! → "
#135,"6/2, 11:42 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in sports or physical activities in the past year.
- My child joined religious or community programs in the past year.
- My child took art or music classes in the past year.",Parent of school-age kids,2,I have children between 6 and 12 years old,"Sports or physical activities, Religious or community programs, Art or music classes",,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Woman,White,38,2016,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities, Religious or community programs, Art or music classes
• Thank you for your time, you did not meet the research criteria for this study! → "
#136,"6/2, 11:42 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in sports or physical activities in the past year.
- My child took art or music classes in the past year.
- My child received tutoring or academic support in the past year.",Engaged Parent of 6–12-Year-Olds,2,I have children between 6 and 12 years old,"Sports or physical activities, Art or music classes, Tutoring or academic support",,,,,,,,,,,,,,,"Parent, Children 6–12",,United States,Man,Asian,42,2016,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities, Art or music classes, Tutoring or academic support
• Thank you for your time, you did not meet the research criteria for this study! → "
#137,"6/2, 11:42 AM",Screened Out,"- I have children aged 6–12.
- My child participated in art or music classes in the past year.
- My child joined religious or community programs in the past year.
- My child received tutoring or academic support in the past year.
- My child engaged in sports or physical activities in the past year.","Parent of school-age kids, activity-focused",2,I have children between 6 and 12 years old,"Art or music classes, Religious or community programs, Tutoring or academic support, Sports or physical activities",,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Woman,White,49,2013,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Art or music classes, Religious or community programs, Tutoring or academic support, Sports or physical activities
• Thank you for your time, you did not meet the research criteria for this study! → "
